product_bucket,reviews,review_pct,estimated_april_2026_units,estimated_last_7_day_units
Bachelorette blow-up dolls / face floats,21,15.00%,339,83
Front door signs / door hangers,21,15.00%,339,82
Christian / scripture signs and door decor,20,14.29%,322,79
Personalized home / family signs,16,11.43%,258,63
Custom quote wood signs,15,10.71%,242,59
Grandma / grandparents gifts,12,8.57%,194,47
Doormats / rugs,11,7.86%,177,43
Wedding guest book signs,8,5.71%,129,31
Custom poker chips,5,3.57%,81,20
Custom ping pong / beer pong balls,3,2.14%,48,12
Pet signs / pet doormats,3,2.14%,48,12
Custom golf balls,2,1.43%,32,8
Custom nicotine / snus metal cans,2,1.43%,32,8
Custom mugs / glass cans,1,0.71%,16,4